sdg_id,sdg_name,n_works,citations,oa_share
3,Good health and well-being,3126,38132,0.7559181062060141
4,Quality Education,1285,4028,0.8996108949416343
2,Zero hunger,530,3851,0.690566037735849
5,Gender equality,355,1628,0.7943661971830986
10,Reduced inequalities,290,1634,0.7827586206896552
7,Affordable and clean energy,288,3111,0.4930555555555556
6,Clean water and sanitation,262,3710,0.5916030534351145
15,Life in Land,232,2157,0.7586206896551724
14,Life below water,214,3278,0.616822429906542
16,"Peace, Justice and strong institutions",165,1810,0.8363636363636363
1,No poverty,123,1993,0.8211382113821138
11,Sustainable cities and communities,117,714,0.7692307692307693
8,Decent work and economic growth,88,645,0.8522727272727273
17,Partnerships for the goals,84,1480,0.75
9,"Industry, innovation and infrastructure",68,738,0.7352941176470589
12,Responsible consumption and production,66,1303,0.7575757575757576
13,Climate action,56,853,0.7321428571428571
