sigla,instituicao,ror,works,citacoes,h_index,i10,mean_citedness,oa_share,top10_share,top1_share,intl_share,nac_share,inst_share,cit_por_trabalho
UFTM,Universidade Federal do Triângulo Mineiro,01av3m334,12817,249539,126,6752,0.891,0.776,0.1009,0.0069,0.194,0.7381,0.068,19.47
UFMG,Universidade Federal de Minas Gerais,0176yjw32,140796,5801735,492,121665,1.691,0.638,0.1641,0.0135,0.2719,0.6008,0.1273,41.21
UFU,Universidade Federal de Uberlândia,04x3wvr31,49664,1097814,224,27260,1.283,0.6891,0.1232,0.0082,0.2185,0.6402,0.1413,22.1
UFV,Universidade Federal de Viçosa,0409dgb37,57161,2049233,302,51038,1.622,0.7151,0.1551,0.0106,0.2396,0.7138,0.0466,35.85
UFJF,Universidade Federal de Juiz de Fora,04yqw9c44,38230,1046492,276,21233,1.137,0.7083,0.147,0.0179,0.2363,0.6245,0.1392,27.37
UFSJ,Federal University of São João del-Rei,03vrj4p82,15193,398491,207,8510,1.194,0.6935,0.1791,0.0306,0.2303,0.6882,0.0815,26.23
UFOP,Universidade Federal de Ouro Preto,056s65p46,20995,482411,183,11411,1.259,0.7043,0.1417,0.0086,0.2509,0.6229,0.1261,22.98
UFLA,Universidade Federal de Lavras,0122bmm03,33664,1100229,210,28539,1.537,0.7278,0.1558,0.0113,0.2415,0.7324,0.0261,32.68
UFVJM,Universidade Federal dos Vales do Jequitinhonha e Mucuri,02gen2282,12438,233620,119,6527,0.945,0.7527,0.1216,0.0064,0.2048,0.7361,0.0591,18.78
UNIFAL,Universidade Federal de Alfenas,034vpja60,11277,254266,125,6914,1.273,0.7172,0.133,0.0069,0.2847,0.6427,0.0726,22.55
UNIFEI,Universidade Federal de Itajubá,00235nr42,10889,264157,162,6013,1.791,0.5444,0.1311,0.0117,0.2548,0.6897,0.0555,24.26
