sigla,year,works,citacoes
UFTM,2026,345,24
UFTM,2025,969,747
UFTM,2024,1072,1532
UFTM,2023,1158,2268
UFTM,2022,1086,4140
UFTM,2021,988,5439
UFTM,2020,1027,6660
UFTM,2019,869,7022
UFTM,2018,715,7385
UFTM,2017,750,7931
UFTM,2016,558,5686
UFTM,2015,558,6614
UFTM,2014,422,5229
UFTM,2013,437,6217
UFTM,2012,404,4846
UFTM,2011,292,5609
UFTM,2010,213,3413
UFERSA,2026,337,16
UFERSA,2025,991,541
UFERSA,2024,1105,1644
UFERSA,2023,1138,3252
UFERSA,2022,902,3501
UFERSA,2021,928,4305
UFERSA,2020,1152,6799
UFERSA,2019,847,5760
UFERSA,2018,879,5555
UFERSA,2017,649,5233
UFERSA,2016,604,4159
UFERSA,2015,612,4283
UFERSA,2014,510,3678
UFERSA,2013,472,4185
UFERSA,2012,391,4018
UFERSA,2011,338,3162
UFERSA,2010,302,4736
UNIR,2026,422,7
UNIR,2025,1175,542
UNIR,2024,1412,1872
UNIR,2023,1327,2992
UNIR,2022,1148,3623
UNIR,2021,1413,4106
UNIR,2020,1249,5424
UNIR,2019,808,3837
UNIR,2018,731,2719
UNIR,2017,626,3968
UNIR,2016,417,3409
UNIR,2015,364,2809
UNIR,2014,346,2969
UNIR,2013,214,2148
UNIR,2012,221,2473
UNIR,2011,201,1682
UNIR,2010,159,1421
UFGD,2026,300,9
UFGD,2025,906,646
UFGD,2024,1086,2214
UFGD,2023,1054,2066
UFGD,2022,1021,3594
UFGD,2021,1163,6070
UFGD,2020,1134,8272
UFGD,2019,936,7394
UFGD,2018,881,7606
UFGD,2017,842,7302
UFGD,2016,750,5695
UFGD,2015,646,4794
UFGD,2014,571,5306
UFGD,2013,458,3680
UFGD,2012,431,3293
UFGD,2011,296,3224
UFGD,2010,189,2741
UNIPAMPA,2033,2,0
UNIPAMPA,2026,458,49
UNIPAMPA,2025,1170,534
UNIPAMPA,2024,1262,1609
UNIPAMPA,2023,1198,2430
UNIPAMPA,2022,1114,3466
UNIPAMPA,2021,1312,5807
UNIPAMPA,2020,1349,8122
UNIPAMPA,2019,1099,8658
UNIPAMPA,2018,1016,8270
UNIPAMPA,2017,892,7873
UNIPAMPA,2016,836,7192
UNIPAMPA,2015,785,6990
UNIPAMPA,2014,627,7743
UNIPAMPA,2013,482,5378
UNIPAMPA,2012,488,6122
UNIPAMPA,2011,272,4070
UNIPAMPA,2010,206,4302
UFCSPA,2026,307,33
UFCSPA,2025,950,934
UFCSPA,2024,897,2464
UFCSPA,2023,834,3866
UFCSPA,2022,751,4836
UFCSPA,2021,855,8766
UFCSPA,2020,789,12607
UFCSPA,2019,714,13344
UFCSPA,2018,603,8649
UFCSPA,2017,582,10257
UFCSPA,2016,513,10616
UFCSPA,2015,514,8634
UFCSPA,2014,486,8905
UFCSPA,2013,400,7779
UFCSPA,2012,353,6586
UFCSPA,2011,238,5617
UFCSPA,2010,236,6958
UNIVASF,2026,411,55
UNIVASF,2025,1008,478
UNIVASF,2024,1064,1267
UNIVASF,2023,954,2071
UNIVASF,2022,841,3814
UNIVASF,2021,850,4760
UNIVASF,2020,925,7360
UNIVASF,2019,784,6184
UNIVASF,2018,629,5980
UNIVASF,2017,616,5396
UNIVASF,2016,501,4914
UNIVASF,2015,377,3589
UNIVASF,2014,378,4370
UNIVASF,2013,222,2786
UNIVASF,2012,224,2922
UNIVASF,2011,180,2441
UNIVASF,2010,131,2092
UFRB,2026,316,13
UFRB,2025,963,305
UFRB,2024,911,1141
UFRB,2023,933,1857
UFRB,2022,856,3054
UFRB,2021,927,3956
UFRB,2020,918,5995
UFRB,2019,687,5966
UFRB,2018,695,5552
UFRB,2017,578,4633
UFRB,2016,494,3445
UFRB,2015,414,4570
UFRB,2014,388,3180
UFRB,2013,276,2865
UFRB,2012,254,3003
UFRB,2011,211,2434
UFRB,2010,170,2812
UFFS,2026,329,15
UFFS,2025,773,441
UFFS,2024,948,1186
UFFS,2023,923,1847
UFFS,2022,878,3486
UFFS,2021,979,6197
UFFS,2020,1109,6112
UFFS,2019,871,4742
UFFS,2018,635,5116
UFFS,2017,555,4589
UFFS,2016,498,3884
UFFS,2015,415,3438
UFFS,2014,308,1934
UFFS,2013,251,1878
UFFS,2012,191,2047
UFFS,2011,91,2037
UFFS,2010,34,309
UFRA,2026,290,59
UFRA,2025,767,539
UFRA,2024,750,1367
UFRA,2023,849,2310
UFRA,2022,735,3188
UFRA,2021,904,4671
UFRA,2020,886,7795
UFRA,2019,578,5005
UFRA,2018,538,4929
UFRA,2017,369,3158
UFRA,2016,396,3159
UFRA,2015,256,3238
UFRA,2014,225,2369
UFRA,2013,204,3428
UFRA,2012,170,2907
UFRA,2011,127,1621
UFRA,2010,78,979
