ODS,nome,capivara,openalex,delta,razao,cap_pct,oa_pct,delta_rank
1,Erradicacao Pobreza,99,123,24,1.24,1.6,1.7,-1
2,Fome Zero,468,530,62,1.13,7.7,7.2,0
3,Saude e Bem-Estar,2355,3126,771,1.33,38.7,42.5,0
4,Educacao Qualidade,1028,1285,257,1.25,16.9,17.5,0
5,Igualdade Genero,285,355,70,1.25,4.7,4.8,-1
6,Agua e Saneamento,270,262,-8,0.97,4.4,3.6,1
7,Energia Limpa,348,288,-60,0.83,5.7,3.9,2
8,Trabalho Decente,93,88,-5,0.95,1.5,1.2,0
9,Industria/Inovacao,68,68,0,1.0,1.1,0.9,-1
10,Reducao Desigualdades,253,290,37,1.15,4.2,3.9,-2
11,Cidades Sustentaveis,102,117,15,1.15,1.7,1.6,1
12,Consumo Responsavel,70,66,-4,0.94,1.1,0.9,1
13,Acao Climatica,48,56,8,1.17,0.8,0.8,0
14,Vida na Agua,206,214,8,1.04,3.4,2.9,1
15,Vida Terrestre,192,232,40,1.21,3.2,3.2,-1
16,Paz e Justica,122,165,43,1.35,2.0,2.2,0
17,Parcerias,80,84,4,1.05,1.3,1.1,0
