doi,title,year,n_patentes
10.1002/eji.1830211106,Evidence for an association between human resistance to Schistosoma mansoni and high anti-larval IgE levels.,1991,1
10.1590/s0074-02762001000900023,Report of the Second Satellite Symposium on Ultrasound in Schistosomiasis,2001,3
10.1681/asn.2014030288,Gut Bacteria Products Prevent AKI Induced by Ischemia-Reperfusion,2015,1
10.3389/fmicb.2017.01790,New Insights into the Diversity of the Genus Faecalibacterium,2017,2
10.1016/j.snb.2021.130651,Reactive oxygen plasma treatment of 3D-printed carbon electrodes towards high-performance electrochemical sensors,2021,4
10.1371/journal.pone.0037584,"TLR2, TLR4 and the MYD88 Signaling Pathway Are Crucial for Neutrophil Migration in Acute Kidney Injury Induced by Sepsis",2012,2
10.1016/j.molcatb.2013.01.011,Protein hydrolysis using proteases: An important tool for food biotechnology,2013,11
10.1016/j.humimm.2012.06.003,Local cytokine profiles of patients with cervical intraepithelial and invasive neoplasia,2012,3
10.1111/psyp.13052,Reference values for short-term resting-state heart rate variability in healthy adults: Results from the Brazilian Longitudinal Study of Adult Health-ELSA-Brasil study.,2018,1
10.4269/ajtmh.2006.75.739,Immunologic tests in patients after clinical cure of visceral leishmaniasis,2006,1
10.3389/fmicb.2017.00876,"In silico Prediction, in vitro Antibacterial Spectrum, and Physicochemical Properties of a Putative Bacteriocin Produced by Lactobacillus rhamnosus Strain L156.4.",2017,1
10.1186/s12882-020-01960-0,Renal expression of cytokines and chemokines in diabetic nephropathy,2020,1
10.1155/2013/164202,Anti-Inflammatory Effects of Ellagic Acid on Acute Lung Injury Induced by Acid in Mice,2013,1
10.1128/cdli.8.1.112-118.2001,Anti-Trypanosoma cruzi Immunoglobulin G1 Can Be a Useful Tool for Diagnosis and Prognosis of Human Chagas' Disease,2001,2
10.1002/cne.23533,Lateral habenula and the rostromedial tegmental nucleus innervate neurochemically distinct subdivisions of the dorsal raphe nucleus in the rat.,2014,1
10.1016/j.phrs.2010.04.005,The activity of medicinal plants and secondary metabolites on eosinophilic inflammation.,2010,3
10.1016/s0030-6665(20)31087-2,Otitis media: the pathogenesis approach. Definitions and terminology.,1991,1
10.1016/j.transproceed.2007.01.036,Mesenchymal stem cells ameliorate tissue damages triggered by renal ischemia and reperfusion injury.,2007,9
10.1063/1.3652905,Procedure for measuring electrical resistivity of anisotropic materials: A revision of the Montgomery method,2011,2
10.1111/j.1600-051x.2010.01586.x,Regulatory T cells attenuate experimental periodontitis progression in mice,2010,8
10.1016/s1473-3099(01)00065-2,Clinical and epidemiological aspects of Chagas disease,2001,1
10.1186/s12955-019-1090-4,The impact of an exercise program on quality of life in older breast cancer survivors undergoing aromatase inhibitor therapy: a randomized controlled trial,2019,1
10.1002/eji.200940115,Human mucosal leishmaniasis: neutrophils infiltrate areas of tissue damage that express high levels of Th17-related cytokines.,2010,37
10.1016/j.jesf.2014.10.002,"Influence of sex on cytokines, heat shock protein and oxidative stress markers in response to an acute total body resistance exercise protocol",2015,3
10.1016/j.livsci.2019.103904,Automated computer vision system to predict body weight and average daily gain in beef cattle during growing and finishing phases,2020,3
10.1016/j.virusres.2020.198021,On the interactions of the receptor-binding domain of SARS-CoV-1 and SARS-CoV-2 spike proteins with monoclonal antibodies and the receptor ACE2.,2020,13
10.1097/00003246-200205000-00017,Failure of neutrophil chemotactic function in septic patients.,2002,3
10.1155/2014/269681,Neonatal Sepsis and Inflammatory Mediators,2014,1
10.1016/j.humimm.2009.01.007,Th1/Th2 immune responses are associated with active cutaneous leishmaniasis and clinical cure is associated with strong interferon-γ production,2009,1
10.1007/s10311-018-0789-5,"Glyphosate detection: methods, needs and challenges",2018,2
10.4049/jimmunol.1200730,Exogenous Administration of 15d-PGJ2–Loaded Nanocapsules Inhibits Bone Resorption in a Mouse Periodontitis Model,2012,1
