sigla,sdg_id,n,share
UFTM,3,3133,0.42522
UFTM,4,1285,0.1744
UFTM,2,533,0.07234
UFTM,5,357,0.04845
UFTM,10,292,0.03963
UFTM,7,289,0.03922
UFTM,6,262,0.03556
UFTM,15,232,0.03149
UFTM,14,216,0.02932
UFTM,16,167,0.02267
UFTM,1,123,0.01669
UFTM,11,117,0.01588
UFTM,8,88,0.01194
UFTM,17,84,0.0114
UFTM,9,68,0.00923
UFTM,12,66,0.00896
UFTM,13,56,0.0076
UFMG,3,21275,0.27509
UFMG,4,8864,0.11461
UFMG,15,5887,0.07612
UFMG,2,5329,0.06891
UFMG,16,4431,0.05729
UFMG,6,4382,0.05666
UFMG,10,4321,0.05587
UFMG,7,4082,0.05278
UFMG,14,3804,0.04919
UFMG,11,3476,0.04495
UFMG,5,2670,0.03452
UFMG,8,2026,0.0262
UFMG,9,1888,0.02441
UFMG,1,1562,0.0202
UFMG,17,1418,0.01834
UFMG,13,1012,0.01309
UFMG,12,911,0.01178
UFU,3,4634,0.18099
UFU,4,3782,0.14772
UFU,15,2528,0.09874
UFU,2,2311,0.09026
UFU,7,2154,0.08413
UFU,6,1412,0.05515
UFU,10,1263,0.04933
UFU,11,1253,0.04894
UFU,16,1226,0.04789
UFU,14,1027,0.04011
UFU,8,942,0.03679
UFU,5,807,0.03152
UFU,9,783,0.03058
UFU,12,467,0.01824
UFU,13,387,0.01512
UFU,17,382,0.01492
UFU,1,245,0.00957
UFV,15,7046,0.24372
UFV,2,5895,0.20391
UFV,6,2969,0.1027
UFV,3,2328,0.08053
UFV,14,1801,0.0623
UFV,7,1280,0.04428
UFV,4,1271,0.04396
UFV,12,930,0.03217
UFV,11,849,0.02937
UFV,8,795,0.0275
UFV,13,762,0.02636
UFV,16,744,0.02574
UFV,10,715,0.02473
UFV,9,546,0.01889
UFV,5,474,0.0164
UFV,17,263,0.0091
UFV,1,242,0.00837
UFJF,3,4751,0.23883
UFJF,4,2861,0.14382
UFJF,7,1877,0.09435
UFJF,10,1416,0.07118
UFJF,16,1351,0.06791
UFJF,2,1056,0.05308
UFJF,5,1045,0.05253
UFJF,15,1011,0.05082
UFJF,11,934,0.04695
UFJF,6,806,0.04052
UFJF,14,734,0.0369
UFJF,8,662,0.03328
UFJF,9,452,0.02272
UFJF,13,273,0.01372
UFJF,1,266,0.01337
UFJF,17,239,0.01201
UFJF,12,159,0.00799
UFSJ,3,1629,0.20304
UFSJ,7,1084,0.13511
UFSJ,4,973,0.12128
UFSJ,15,648,0.08077
UFSJ,2,527,0.06569
UFSJ,10,512,0.06382
UFSJ,6,441,0.05497
UFSJ,16,389,0.04849
UFSJ,11,374,0.04662
UFSJ,5,265,0.03303
UFSJ,9,255,0.03178
UFSJ,14,247,0.03079
UFSJ,8,219,0.0273
UFSJ,12,155,0.01932
UFSJ,17,120,0.01496
UFSJ,13,108,0.01346
UFSJ,1,77,0.0096
UFOP,3,1863,0.17191
UFOP,4,1547,0.14275
UFOP,6,892,0.08231
UFOP,15,865,0.07982
UFOP,14,729,0.06727
UFOP,11,722,0.06662
UFOP,2,720,0.06644
UFOP,10,633,0.05841
UFOP,7,565,0.05214
UFOP,16,561,0.05177
UFOP,9,414,0.0382
UFOP,8,362,0.0334
UFOP,5,335,0.03091
UFOP,13,199,0.01836
UFOP,12,179,0.01652
UFOP,1,132,0.01218
UFOP,17,119,0.01098
UFLA,15,4626,0.27005
UFLA,2,3567,0.20823
UFLA,6,1828,0.10671
UFLA,3,1045,0.061
UFLA,14,936,0.05464
UFLA,4,850,0.04962
UFLA,7,772,0.04507
UFLA,12,690,0.04028
UFLA,9,447,0.02609
UFLA,10,433,0.02528
UFLA,13,410,0.02393
UFLA,16,408,0.02382
UFLA,8,405,0.02364
UFLA,11,319,0.01862
UFLA,17,168,0.00981
UFLA,5,139,0.00811
UFLA,1,87,0.00508
UFVJM,3,1445,0.21894
UFVJM,15,1075,0.16288
UFVJM,2,856,0.1297
UFVJM,4,804,0.12182
UFVJM,6,526,0.0797
UFVJM,14,266,0.0403
UFVJM,11,227,0.03439
UFVJM,7,195,0.02955
UFVJM,10,193,0.02924
UFVJM,12,181,0.02742
UFVJM,8,154,0.02333
UFVJM,13,148,0.02242
UFVJM,16,148,0.02242
UFVJM,5,125,0.01894
UFVJM,1,121,0.01833
UFVJM,9,86,0.01303
UFVJM,17,50,0.00758
UNIFAL,3,1772,0.2915
UNIFAL,4,714,0.11745
UNIFAL,6,637,0.10479
UNIFAL,2,632,0.10396
UNIFAL,15,460,0.07567
UNIFAL,10,228,0.03751
UNIFAL,5,224,0.03685
UNIFAL,14,221,0.03635
UNIFAL,7,208,0.03422
UNIFAL,11,182,0.02994
UNIFAL,16,175,0.02879
UNIFAL,9,144,0.02369
UNIFAL,8,135,0.02221
UNIFAL,12,126,0.02073
UNIFAL,17,83,0.01365
UNIFAL,1,82,0.01349
UNIFAL,13,56,0.00921
UNIFEI,7,1826,0.3302
UNIFEI,9,558,0.1009
UNIFEI,4,538,0.09729
UNIFEI,6,368,0.06655
UNIFEI,11,357,0.06456
UNIFEI,13,311,0.05624
UNIFEI,3,252,0.04557
UNIFEI,14,219,0.0396
UNIFEI,15,197,0.03562
UNIFEI,12,195,0.03526
UNIFEI,8,162,0.02929
