issn,area,percentil,estrato,citescore_analogo
15163210,Social Sciences,27.1,B2,0.09
25168290,Medicine,77.5,A2,1.53
25740962,Engineering,91.9,A1,4.91
19448244,Materials Science,92.9,A1,7.44
25740970,Materials Science,89.6,A1,5.89
15548929,"Biochemistry, Genetics and Molecular Biology",80.0,A2,3.32
23738227,Medicine,95.3,A1,4.09
26942461,Materials Science,83.2,A2,4.51
24701343,Chemical Engineering,81.7,A2,4.15
26942445,Computer Science,75.4,A2,3.21
21680485,Environmental Science,95.2,A1,6.55
01202812,Agricultural and Biological Sciences,55.6,A4,0.96
01393006,Agricultural and Biological Sciences,47.3,B1,0.68
00015172,Medicine,80.3,A2,1.73
01023306,Agricultural and Biological Sciences,54.2,A4,0.91
01028650,Medicine,74.3,A3,1.33
19099711,Medicine,0.0,B4,0.0
01888145,Social Sciences,75.6,A2,1.34
16005368,Chemistry,0.0,B4,0.0
00015547,Medicine,67.9,A3,0.97
01026712,Agricultural and Biological Sciences,51.9,A4,0.83
00016314,Medicine,59.6,A4,0.52
14137852,Medicine,59.6,A4,0.52
00016489,Medicine,64.5,A3,0.78
12302821,Immunology and Microbiology,50.8,A4,1.26
01032100,Nursing,46.7,B1,0.5
05874246,Physics and Astronomy,38.5,B1,0.66
01375881,Agricultural and Biological Sciences,82.4,A2,2.54
15174492,Social Sciences,27.1,B2,0.09
16780345,Veterinary,28.0,B2,0.12
16799275,Agricultural and Biological Sciences,42.0,B1,0.52
18062636,Agricultural and Biological Sciences,35.5,B2,0.34
16799283,Agricultural and Biological Sciences,37.2,B2,0.4
21785198,Social Sciences,34.7,B2,0.18
16799291,"Biochemistry, Genetics and Molecular Biology",35.0,B2,0.29
18062563,Earth and Planetary Sciences,46.8,B1,0.54
19834675,Arts and Humanities,49.4,B1,0.12
0001706X,Medicine,86.4,A2,2.26
07365829,Health Professions,69.4,A3,1.33
10226680,Engineering,90.7,A1,4.61
15361365,Mathematics,81.6,A2,2.16
03946169,Agricultural and Biological Sciences,51.2,A4,0.81
16878132,Engineering,78.1,A2,2.66
25233106,Medicine,89.9,A1,2.71
15277941,Medicine,72.1,A3,1.19
21621918,Medicine,96.4,A1,4.65
01896725,Medicine,64.6,A3,0.78
15744647,"Biochemistry, Genetics and Molecular Biology",0.0,B4,0.0
15681637,Neuroscience,99.4,A1,15.06
13607863,Nursing,84.7,A2,2.07
15940667,Medicine,96.8,A1,4.9
24750360,Medicine,89.9,A1,2.7
15161498,Medicine,53.4,A4,0.26
0308521X,Agricultural and Biological Sciences,95.0,A1,5.14
20770472,Agricultural and Biological Sciences,92.4,A1,4.1
26247402,Agricultural and Biological Sciences,87.6,A1,3.12
01209965,Agricultural and Biological Sciences,64.0,A3,1.33
20734395,Agricultural and Biological Sciences,92.7,A1,4.19
00021962,Agricultural and Biological Sciences,70.1,A3,1.61
01017004,Earth and Planetary Sciences,38.2,B1,0.24
00011541,Environmental Science,83.7,A2,3.45
09540121,Social Sciences,70.4,A3,1.1
08892229,Medicine,72.2,A3,1.2
20901240,Medicine,71.1,A3,1.14
21583226,Physics and Astronomy,69.0,A3,2.17
03115518,Agricultural and Biological Sciences,75.6,A2,1.94
07350414,Medicine,80.6,A2,1.75
1517106X,Arts and Humanities,30.3,B2,0.04
22119264,Agricultural and Biological Sciences,92.8,A1,4.2
17263255,Mathematics,26.0,B2,0.28
00025232,Mathematics,22.9,B3,0.21
17101484,Medicine,90.3,A1,2.76
15525260,Medicine,79.4,A2,1.65
21910855,"Biochemistry, Genetics and Molecular Biology",81.8,A2,3.5
1414753X,Social Sciences,45.4,B1,0.36
00027014,Earth and Planetary Sciences,51.8,A4,0.74
11753277,Medicine,93.6,A1,3.46
10420533,Social Sciences,78.1,A2,1.48
01966553,Medicine,68.9,A3,1.01
15598276,Medicine,79.7,A2,1.68
01487299,Engineering,0.0,B4,0.0
15524825,Medicine,72.0,A3,1.19
00029378,Medicine,79.7,A2,1.68
00029440,Medicine,92.4,A1,3.14
08949115,Medicine,75.6,A2,1.4
00029505,Physics and Astronomy,42.4,B1,0.83
03636135,Medicine,90.7,A1,2.85
03636119,Medicine,81.4,A2,1.81
00900036,Medicine,86.3,A2,2.25
10467408,Medicine,87.0,A2,2.32
00029637,Medicine,77.1,A2,1.5
09394451,"Biochemistry, Genetics and Molecular Biology",87.4,A2,4.28
13506129,Medicine,91.9,A1,3.05
03650596,Medicine,77.7,A2,1.54
00013765,General,67.1,A3,1.15
01014714,Arts and Humanities,27.8,B2,0.03
00032697,"Biochemistry, Genetics and Molecular Biology",77.2,A2,3.07
00032700,Chemistry,90.6,A1,6.14
00032719,Medicine,82.9,A2,1.94
17599660,Engineering,76.4,A2,2.46
19328486,Medicine,81.0,A2,1.79
1447073X,Medicine,72.8,A3,1.24
19359772,Medicine,91.1,A1,2.9
20933665,Medicine,69.2,A3,1.03
00033022,Medicine,87.4,A2,2.38
00033197,Medicine,76.1,A2,1.43
1578665X,Agricultural and Biological Sciences,95.9,A1,5.51
03778401,Agricultural and Biological Sciences,80.4,A2,2.31
20965451,Veterinary,87.1,A2,2.14
18360939,Agricultural and Biological Sciences,64.3,A3,1.34
03784320,Veterinary,81.6,A2,1.82
20762615,Veterinary,93.7,A1,2.8
00034746,Agricultural and Biological Sciences,64.5,A3,1.35
00906964,Engineering,75.2,A2,2.39
14760711,Medicine,97.7,A1,5.84
10929134,Medicine,75.8,A2,1.41
16652681,Medicine,73.2,A3,1.26
03014460,Medicine,82.7,A2,1.93
07853890,Medicine,93.7,A1,3.48
20490801,Medicine,77.4,A2,1.52
15904261,Immunology and Microbiology,90.5,A1,5.03
03645134,Medicine,96.1,A1,4.52
02506807,Medicine,81.8,A2,1.85
09237534,Medicine,74.7,A3,1.35
02545330,Decision Sciences,79.1,A2,3.28
22245820,Nursing,89.5,A1,2.48
18770657,Medicine,76.6,A2,1.47
00034916,Physics and Astronomy,71.6,A3,2.31
10689265,Medicine,78.1,A2,1.57
00778923,Arts and Humanities,98.5,A1,3.18
23055839,Medicine,97.4,A1,5.46
00034983,Immunology and Microbiology,0.0,B4,0.0
0104236X,Arts and Humanities,46.4,B1,0.11
20796382,Medicine,97.1,A1,5.18
18715206,"Pharmacology, Toxicology and Pharmaceutics",68.7,A3,1.8
09594973,Medicine,81.3,A2,1.81
02507005,Medicine,75.6,A2,1.4
18715230,Medicine,85.2,A2,2.14
20763921,Agricultural and Biological Sciences,98.2,A1,7.62
01019759,Social Sciences,49.8,B1,0.46
01956663,Nursing,95.3,A1,3.45
0003682X,Physics and Astronomy,88.6,A1,4.49
02732289,"Biochemistry, Genetics and Molecular Biology",73.2,A3,2.7
0926860X,Chemical Engineering,72.0,A3,3.16
26733161,Engineering,72.5,A3,2.18
01757598,"Biochemistry, Genetics and Molecular Biology",93.8,A1,6.19
21905509,Engineering,72.2,A3,2.15
08971897,Nursing,85.1,A2,2.09
02682605,Chemistry,83.2,A2,4.5
00036951,Physics and Astronomy,84.2,A2,3.57
17155312,Nursing,90.0,A1,2.52
27024288,General,74.8,A3,1.74
20763417,Engineering,83.1,A2,3.29
15684946,Computer Science,91.7,A1,5.73
01694332,Physics and Astronomy,93.1,A1,5.68
26665069,Medicine,84.1,A2,2.03
09676120,Agricultural and Biological Sciences,87.3,A2,3.08
10151621,Agricultural and Biological Sciences,80.1,A2,2.28
0166445X,Agricultural and Biological Sciences,92.3,A1,4.09
16575997,Nursing,52.4,A4,0.68
21914281,General,85.5,A2,3.25
16438698,Health Professions,0.0,B4,0.0
23593997,Medicine,78.8,A2,1.61
01674943,Nursing,96.6,A1,4.07
09320067,Medicine,90.0,A1,2.71
00039969,Dentistry,84.8,A2,2.02
00039985,Health Professions,86.5,A2,2.23
26753626,Medicine,52.5,A4,0.22
00039993,Medicine,63.3,A3,0.71
07787367,Medicine,89.7,A1,2.67
02128799,Medicine,53.1,A4,0.24
01020935,Veterinary,48.9,B1,0.53
0066782X,Medicine,67.3,A3,0.93
01026720,Medicine,71.8,A3,1.17
00042730,Medicine,0.0,B4,0.0
00042749,Medicine,61.2,A4,0.6
00042803,Medicine,69.5,A3,1.04
0004282X,Medicine,51.4,A4,0.19
15160939,Dentistry,52.4,A4,0.53
18729312,Medicine,71.6,A3,1.16
2008000X,Medicine,93.0,A1,3.29
15137368,Medicine,78.0,A2,1.56
19821956,Social Sciences,39.8,B1,0.26
14429985,Agricultural and Biological Sciences,59.7,A4,1.12
18352693,Agricultural and Biological Sciences,42.2,B1,0.52
08916934,Medicine,95.3,A1,4.12
15660702,Medicine,86.3,A2,2.26
22361960,Medicine,69.9,A3,1.07
16770471,Psychology,0.0,B4,0.0
17944724,Psychology,22.7,B3,0.2
26741334,Agricultural and Biological Sciences,95.9,A1,5.51
21764573,Arts and Humanities,69.0,A3,0.33
2076328X,Social Sciences,93.7,A1,3.23
00057959,Agricultural and Biological Sciences,46.7,B1,0.67
01664328,Neuroscience,74.8,A3,2.61
21904286,Engineering,83.8,A2,3.39
18762883,Medicine,82.3,A2,1.89
18788181,Agricultural and Biological Sciences,94.4,A1,4.73
03279545,"Biochemistry, Genetics and Molecular Biology",55.5,A4,1.55
0006291X,"Biochemistry, Genetics and Molecular Biology",67.7,A3,2.29
1369703X,Engineering,83.2,A2,3.3
00062960,"Biochemistry, Genetics and Molecular Biology",67.9,A3,2.3
20902247,"Biochemistry, Genetics and Molecular Biology",62.0,A4,1.91
00052736,"Biochemistry, Genetics and Molecular Biology",67.6,A3,2.28
03044165,"Biochemistry, Genetics and Molecular Biology",73.1,A3,2.69
