origem,destino,peso
i|r|vicente ferreira,i|d|mara dos santos tavares,2
i|r|vicente ferreira,i|f|aparecida dias,4
f|scsv|tanaka,f|fb|vito,33
f|scsv|tanaka,i|h|moraes souza,11
f|scsv|tanaka,f|acdm|carneiro,29
f|scsv|tanaka,i|f|bernadelli de vito,2
i|j|cesar de souza inacio goncalves,i|r|valentim gelamo,3
i|j|cesar de souza inacio goncalves,i|m|s da luz,12
i|j|cesar de souza inacio goncalves,i|d|carneiro ferreira,14
i|j|cesar de souza inacio goncalves,i|g|roger pointer malpass,2
i|m|torreglosa ruiz,i|b|dias miranda parreira,10
i|m|torreglosa ruiz,i|b|ferreira goulart,9
i|m|torreglosa ruiz,i|s|riul da silva,12
i|m|torreglosa ruiz,i|m|carvalho paschoini,16
i|m|torreglosa ruiz,f|divanice|contim,30
i|m|torreglosa ruiz,i|m|paula custodio silva,17
i|m|torreglosa ruiz,i|k|faria de oliveira,14
i|m|torreglosa ruiz,f|joilson|meneguci,3
i|m|torreglosa ruiz,i|c|jose freire oliveira,5
i|m|torreglosa ruiz,i|w|francisco rodrigues,5
i|m|torreglosa ruiz,i|j|bonolo do amaral rocha,6
i|m|torreglosa ruiz,i|s|regina ribeiro chavaglia,6
i|m|torreglosa ruiz,i|g|de araujo pereira,2
i|m|torreglosa ruiz,f|elizabeth|barichello,5
i|m|torreglosa ruiz,i|a|cristina nicolussi,2
f|elizabeth|barichello,i|m|helena barbosa,58
f|elizabeth|barichello,i|m|marques dos santos felix,17
f|elizabeth|barichello,i|a|lucia de assis simoes,2
f|elizabeth|barichello,i|a|cristina nicolussi,7
f|elizabeth|barichello,i|k|faria de oliveira,15
f|elizabeth|barichello,i|v|jose haas,5
f|elizabeth|barichello,i|l|aparecida ferreira,2
f|elizabeth|barichello,f|divanice|contim,6
f|elizabeth|barichello,i|j|bonolo do amaral rocha,2
f|elizabeth|barichello,i|d|ferreira da cunha,4
f|elizabeth|barichello,i|s|regina ribeiro chavaglia,8
f|elizabeth|barichello,i|h|hemiko iwamoto,2
f|elizabeth|barichello,i|k|goncalves do nascimento,2
f|elizabeth|barichello,i|m|paula custodio silva,4
f|aluizio|prata,f|dalmo|correia,13
f|aluizio|prata,f|virmondes|rodrigues,7
f|aluizio|prata,i|h|moraes souza,2
f|aluizio|prata,i|l|de almeida silva teixeira,6
f|aluizio|prata,i|m|leon silva vergara,9
f|aluizio|prata,i|v|jose dias da silva,5
f|aluizio|prata,i|e|lages silva,3
f|aluizio|prata,i|l|eduardo ramırez,2
f|aluizio|prata,i|m|antonia dos reis,2
i|l|euripedes andrade silva,i|k|ferreira paim,19
i|l|euripedes andrade silva,i|m|leon silva vergara,22
i|l|euripedes andrade silva,f|marcos|silva,10
i|l|euripedes andrade silva,f|virmondes|rodrigues,8
i|l|euripedes andrade silva,i|a|luiz pedrosa,4
i|l|euripedes andrade silva,i|c|jose freire oliveira,7
i|l|euripedes andrade silva,i|e|lages silva,2
i|l|euripedes andrade silva,i|f|bernadelli de vito,2
i|l|euripedes andrade silva,i|f|rodrigues helmo,3
i|l|euripedes andrade silva,i|h|moraes souza,3
i|l|euripedes andrade silva,i|w|francisco rodrigues,2
i|l|euripedes andrade silva,i|a|de paula rogerio,3
i|s|aparecida de lima pereira,f|virmondes|rodrigues,14
i|s|aparecida de lima pereira,i|d|bertulucci rocha rodrigues,19
i|s|aparecida de lima pereira,i|m|antonia dos reis,6
i|s|aparecida de lima pereira,i|v|de paula antunes teixeira,7
i|s|aparecida de lima pereira,i|r|margarida etchebehere,8
i|s|aparecida de lima pereira,i|s|jorge adad,4
i|s|aparecida de lima pereira,i|a|paula espindula,6
