id,nome,works,x,y,grau,betw,comunidade,grupo,topico
f|virmondes|rodrigues,Virmondes Rodrigues,215,-0.1604,0.2117,445,0.0281,0,Epidemiology,Trypanosoma species research and implications
i|a|de paula rogerio,Alexandre de Paula Rogério,42,-0.3099,0.2586,33,0.0227,0,Epidemiology,Trypanosoma species research and implications
i|d|fernando bovolenta ovigli,Daniel Fernando Bovolenta Ovigli,47,-0.939,0.0404,20,0.0001,9,Education,Science and Education Research
i|a|bernadete trovo de marqui,Alessandra Bernadete Trovó de Marqui,55,-0.1319,-0.2548,16,0.0009,1,General Health Professions,"Health, Nursing, Elderly Care"
i|m|marques dos santos felix,Márcia Marques dos Santos Félix,42,0.3323,-0.4577,74,0.0,1,General Health Professions,"Health, Nursing, Elderly Care"
i|i|aparecida porcatti de walsh,Isabel Aparecida Porcatti de Walsh,71,0.0575,-0.4531,75,0.012,5,Neurology,Stroke Rehabilitation and Recovery
i|s|riul da silva,Sueli Riul da Silva,65,0.3013,-0.2769,49,0.0377,1,General Health Professions,"Health, Nursing, Elderly Care"
f|karina|pereira,Karina Pereira,34,-0.0622,-0.677,20,0.0067,5,Neurology,Stroke Rehabilitation and Recovery
i|f|carolina ribeiro dias,Fernanda Carolina Ribeiro Dias,39,-0.9329,0.0631,2,0.0,3,Epidemiology,Cervical Cancer and HPV Research
i|a|mario karwoski,Acir Mário Karwoski,48,-0.3988,-0.913,3,0.0,2,Materials Chemistry,Metal complexes synthesis and properties
f|afonso|pelli,Afonso Pelli,78,0.2112,0.1803,12,0.0065,0,Epidemiology,Trypanosoma species research and implications
i|v|modesto dos santos,Vitorino Modesto dos Santos,31,-0.0079,0.1434,39,0.0,4,Epidemiology,Trypanosoma species research and implications
i|w|wey moreira,Wagner Wey Moreira,64,0.8085,0.1412,15,0.0,10,Education,Physical Education and Sports Studies
i|l|resende rodrigues,Leiner Resende Rodriguês,56,0.5758,-0.1079,64,0.032,8,General Health Professions,"Health, Nursing, Elderly Care"
f|acdm|carneiro,ACDM Carneiro,41,-0.5477,0.2329,84,0.0,6,General Health Professions,"Health, Nursing, Elderly Care"
i|m|leon silva vergara,Mário León Silva-Vergara,107,-0.1991,0.3187,134,0.0151,0,Epidemiology,Trypanosoma species research and implications
i|f|aparecida dias,Flávia Aparecida Dias,81,0.5163,-0.009,134,0.014,8,General Health Professions,"Health, Nursing, Elderly Care"
i|g|vannucchi portari,Guilherme Vannucchi Portari,37,-0.2058,-0.1099,16,0.0,3,Epidemiology,Cervical Cancer and HPV Research
i|m|aparecida spadotto balarin,Marly Aparecida Spadotto Balarin,33,-0.0871,-0.3995,16,0.0003,1,General Health Professions,"Health, Nursing, Elderly Care"
i|m|aurelho de lima,Marcus Aurelho de Lima,36,0.1002,0.3688,25,0.0001,4,Epidemiology,Trypanosoma species research and implications
i|r|valentim gelamo,Rogério Valentim Gelamo,93,-0.3403,-0.0072,43,0.0757,2,Materials Chemistry,Metal complexes synthesis and properties
i|p|i s maia,Pedro I. S. Maia,63,-0.0714,0.8253,11,0.0485,2,Materials Chemistry,Metal complexes synthesis and properties
