topico,n
"Health, Nursing, Elderly Care",434
Trypanosoma species research and implications,289
Education Pedagogy and Practices,270
Science and Education Research,159
Linguistics and Education Research,148
Psychology and Mental Health,143
Environmental Sustainability and Education,141
Education and Digital Technologies,141
"Youth, Drugs, and Violence",139
Occupational Health and Burnout,117
Maternal and Neonatal Healthcare,115
Sports Performance and Training,114
Health Education and Validation,103
Business and Management Studies,102
Physical Education and Gymnastics,95
Healthcare during COVID-19 Pandemic,95
Physical Education and Sports Studies,92
Palliative and Oncologic Care,87
Women's cancer prevention and management,84
Fungal Infections and Studies,79
Research on Leishmaniasis Studies,76
Physical Activity and Health,72
Agricultural and Food Sciences,69
Education and Public Policy,65
Nutrition and Health in Aging,65
Public Health in Brazil,61
Breastfeeding Practices and Influences,60
Soil Management and Crop Yield,57
Education during COVID-19 pandemic,57
Healthcare Regulation,56
