work_id,year,type,language,cited_by,is_oa,source,sdg_id,sdg_name,sdg_score
https://openalex.org/W2049590994,2001,review,en,924,False,The Lancet Infectious Diseases,3,Good health and well-being,0.4099999964237213
https://openalex.org/W2061246349,2011,review,en,911,True,Infection Genetics and Evolution,3,Good health and well-being,0.7699999809265137
https://openalex.org/W2078728013,2014,article,en,825,True,Applied Soft Computing,16,"Peace, Justice and strong institutions",0.75
https://openalex.org/W2089173136,2013,article,en,572,False,Journal of Molecular Catalysis B Enzymatic,12,Responsible consumption and production,0.5
https://openalex.org/W2127826587,2015,article,en,489,True,Journal of the American Society of Nephrology,3,Good health and well-being,0.5899999737739563
https://openalex.org/W2049700928,1997,article,en,482,False,Urology,14,Life below water,0.7200000286102295
https://openalex.org/W2738307421,2017,article,pt,444,True,Revista da Sociedade Brasileira de Medicina Tropical,1,No poverty,0.6600000262260437
https://openalex.org/W2560613109,2016,article,pt,337,True,Revista da Sociedade Brasileira de Medicina Tropical,3,Good health and well-being,0.6499999761581421
https://openalex.org/W2890003115,2018,article,en,270,False,Environmental Chemistry Letters,13,Climate action,0.4099999964237213
https://openalex.org/W2124410359,2011,article,en,268,True,Journal of Clinical Microbiology,3,Good health and well-being,0.8799999952316284
https://openalex.org/W2512512155,2016,article,pt,267,True,Epidemiologia e Serviços de Saúde,3,Good health and well-being,0.7099999785423279
https://openalex.org/W1972908310,2015,review,en,246,False,Pathology & Oncology Research,3,Good health and well-being,0.6899999976158142
https://openalex.org/W2581160827,2017,article,en,222,False,ACS Sustainable Chemistry & Engineering,6,Clean water and sanitation,0.8700000047683716
https://openalex.org/W1901605865,2015,article,en,198,True,Journal of Molecular Diagnostics,17,Partnerships for the goals,0.5600000023841858
https://openalex.org/W2100932180,2012,article,en,195,True,Bulletin of the World Health Organization,17,Partnerships for the goals,0.41999998688697815
https://openalex.org/W2315207544,2014,review,en,184,True,ACS Applied Materials & Interfaces,9,"Industry, innovation and infrastructure",0.47999998927116394
https://openalex.org/W2035841030,1991,article,en,178,True,Revista do Instituto de Medicina Tropical de São Paulo,3,Good health and well-being,0.8299999833106995
https://openalex.org/W2988891124,2019,article,en,172,False,International Journal of Biological Macromolecules,12,Responsible consumption and production,0.4300000071525574
https://openalex.org/W2059221551,2013,article,en,171,True,BioMed Research International,3,Good health and well-being,0.6200000047683716
https://openalex.org/W2150140084,1999,article,en,171,False,The Journal of Clinical Endocrinology & Metabolism,3,Good health and well-being,0.699999988079071
https://openalex.org/W1974361254,2013,article,en,170,False,The Journal of Strength and Conditioning Research,14,Life below water,0.47999998927116394
https://openalex.org/W1993214105,2007,article,en,170,True,Veterinary Parasitology,3,Good health and well-being,0.6299999952316284
https://openalex.org/W2811147367,2018,review,en,169,False,Materials & Design,15,Life in Land,0.47999998927116394
https://openalex.org/W2027279212,2007,article,en,163,False,Human Pathology,3,Good health and well-being,0.75
https://openalex.org/W1964511445,2010,article,en,162,False,Immunobiology,3,Good health and well-being,0.8399999737739563
https://openalex.org/W3047903919,2020,review,en,162,True,Bioinformatics and Biology Insights,16,"Peace, Justice and strong institutions",0.5600000023841858
https://openalex.org/W3090519394,2020,article,en,159,False,Journal of environmental chemical engineering,6,Clean water and sanitation,0.8600000143051147
https://openalex.org/W2598677501,2017,article,en,158,False,JAMA,3,Good health and well-being,0.800000011920929
https://openalex.org/W2000700250,2014,article,en,157,True,International Security,17,Partnerships for the goals,0.4099999964237213
https://openalex.org/W772493169,2015,article,en,155,True,Industrial Crops and Products,7,Affordable and clean energy,0.8399999737739563
https://openalex.org/W1819081776,2015,article,en,145,False,Journal of Biotechnology,14,Life below water,0.47999998927116394
https://openalex.org/W2006338259,2009,article,en,143,False,Human Immunology,3,Good health and well-being,0.6800000071525574
https://openalex.org/W2996376534,2019,article,en,143,True,Livestock Science,8,Decent work and economic growth,0.5899999737739563
https://openalex.org/W2795782826,2018,review,en,142,True,Revista da Associação Médica Brasileira,3,Good health and well-being,0.8199999928474426
https://openalex.org/W2101796978,2010,article,en,137,True,European Journal of Immunology,3,Good health and well-being,0.5799999833106995
https://openalex.org/W2406597311,2016,article,en,132,True,Journal of Cleaner Production,8,Decent work and economic growth,0.4000000059604645
https://openalex.org/W2083634206,2011,article,en,129,True,Applied Catalysis A General,6,Clean water and sanitation,0.8600000143051147
https://openalex.org/W3087085224,2020,review,en,129,True,Revista da Associação Médica Brasileira,3,Good health and well-being,0.8600000143051147
https://openalex.org/W2573315041,2017,article,en,127,True,PLoS neglected tropical diseases,3,Good health and well-being,0.8700000047683716
https://openalex.org/W2080664816,2007,article,en,126,False,Transplantation Proceedings,3,Good health and well-being,0.8899999856948853
https://openalex.org/W1493993724,2013,article,en,125,False,The Journal of Comparative Neurology,1,No poverty,0.6000000238418579
https://openalex.org/W2109099721,2014,article,en,125,True,BMC Infectious Diseases,3,Good health and well-being,0.7900000214576721
https://openalex.org/W2134575990,2014,review,en,124,True,Mediators of Inflammation,3,Good health and well-being,0.8399999737739563
https://openalex.org/W2282276493,2016,article,en,123,True,Journal of Cleaner Production,7,Affordable and clean energy,0.7200000286102295
https://openalex.org/W2088256471,2013,article,en,122,True,Mediators of Inflammation,3,Good health and well-being,0.7599999904632568
https://openalex.org/W2151318129,2013,article,en,122,True,PLANT PHYSIOLOGY,12,Responsible consumption and production,0.4000000059604645
https://openalex.org/W2605781918,2017,review,en,120,False,The Journal of Maternal-Fetal & Neonatal Medicine,3,Good health and well-being,0.8700000047683716
https://openalex.org/W1968735466,2014,article,en,119,True,Revista Latino-Americana de Enfermagem,11,Sustainable cities and communities,0.7200000286102295
https://openalex.org/W2111556583,2011,article,en,119,True,Hypertension,3,Good health and well-being,0.8799999952316284
https://openalex.org/W2917150406,2019,article,en,118,True,Health and Quality of Life Outcomes,3,Good health and well-being,0.5400000214576721
https://openalex.org/W2036887639,2012,article,en,117,False,Food Biophysics,2,Zero hunger,0.6800000071525574
https://openalex.org/W2888882660,2018,review,en,117,True,Revista Brasileira de Enfermagem,4,Quality Education,0.5199999809265137
https://openalex.org/W2027885493,2011,article,pt,116,True,Fisioterapia em Movimento,3,Good health and well-being,0.46000000834465027
https://openalex.org/W2523002838,2017,article,en,115,True,Nature Physics,16,"Peace, Justice and strong institutions",0.6800000071525574
https://openalex.org/W3087046564,2020,article,en,113,False,JACC: Cardiovascular Interventions,3,Good health and well-being,0.6899999976158142
https://openalex.org/W642335544,2015,review,pt,111,True,Revista Paulista de Pediatria,4,Quality Education,0.5400000214576721
https://openalex.org/W2010344849,2011,review,en,108,True,Revista da Sociedade Brasileira de Medicina Tropical,3,Good health and well-being,0.8600000143051147
https://openalex.org/W2752182706,2017,article,en,107,False,Immunological Investigations,3,Good health and well-being,0.8500000238418579
https://openalex.org/W1505058377,2011,article,en,106,True,International Journal of Andrology,3,Good health and well-being,0.7900000214576721
https://openalex.org/W1923779178,2016,article,en,106,True,Chinese Physics C,7,Affordable and clean energy,0.4699999988079071
https://openalex.org/W2067039312,2011,article,en,105,False,Archives of Oral Biology,3,Good health and well-being,0.49000000953674316
https://openalex.org/W3093242181,2020,review,en,105,True,British Journal of Sports Medicine,4,Quality Education,0.6100000143051147
https://openalex.org/W2944377776,2019,review,en,104,True,Arquivos de Neuro-Psiquiatria,10,Reduced inequalities,0.6499999761581421
https://openalex.org/W3090585326,2020,article,en,99,True,Ciência & Saúde Coletiva,1,No poverty,0.6399999856948853
https://openalex.org/W2078337888,2010,article,pt,96,True,Revista Brasileira de Hematologia e Hemoterapia,3,Good health and well-being,0.5799999833106995
https://openalex.org/W3045592983,2020,article,en,94,True,BMC Nephrology,3,Good health and well-being,0.8199999928474426
https://openalex.org/W2885832339,2018,article,pt,92,True,Epidemiologia e Serviços de Saúde,3,Good health and well-being,0.7400000095367432
https://openalex.org/W2945327237,2019,article,en,91,True,Scientific Reports,3,Good health and well-being,0.8600000143051147
https://openalex.org/W2317342304,2015,article,en,90,False,The Journal of Strength and Conditioning Research,3,Good health and well-being,0.8100000023841858
https://openalex.org/W2116724205,2012,article,en,88,True,American Journal of Tropical Medicine and Hygiene,3,Good health and well-being,0.8799999952316284
https://openalex.org/W2162002340,2008,article,pt,88,True,Texto & Contexto - Enfermagem,3,Good health and well-being,0.75
https://openalex.org/W2591545376,2017,article,en,87,False,Expert Systems with Applications,16,"Peace, Justice and strong institutions",0.6800000071525574
https://openalex.org/W2791120609,2018,article,en,87,True,Journal of Cleaner Production,12,Responsible consumption and production,0.4000000059604645
https://openalex.org/W2123743730,2013,article,en,86,True,Psicologia Reflexão e Crítica,17,Partnerships for the goals,0.44999998807907104
https://openalex.org/W2810563387,2018,review,en,85,True,Dementia & Neuropsychologia,4,Quality Education,0.49000000953674316
https://openalex.org/W2790454505,2018,article,en,83,False,Applied Surface Science,2,Zero hunger,0.5199999809265137
https://openalex.org/W2806089652,2018,article,en,83,True,Communications Biology,15,Life in Land,0.5099999904632568
https://openalex.org/W2019934331,2014,review,en,81,True,BioMed Research International,3,Good health and well-being,0.8500000238418579
https://openalex.org/W2995393537,2019,review,en,81,False,European Journal of Neuroscience,3,Good health and well-being,0.800000011920929
https://openalex.org/W2004864761,2013,article,en,80,False,Journal of Neurology,3,Good health and well-being,0.550000011920929
https://openalex.org/W2685944559,2017,article,lv,80,True,Physics Letters B,7,Affordable and clean energy,0.7799999713897705
https://openalex.org/W2589439154,2017,article,en,79,True,Mediators of Inflammation,3,Good health and well-being,0.7300000190734863
https://openalex.org/W2909775259,2019,article,en,79,True,Frontiers in Plant Science,15,Life in Land,0.47999998927116394
https://openalex.org/W2918813179,2019,article,en,79,True,Revista Brasileira Ginecologia e Obstetrícia,3,Good health and well-being,0.8600000143051147
https://openalex.org/W2101832894,2014,article,en,77,True,Revista Latino-Americana de Enfermagem,1,No poverty,0.7900000214576721
https://openalex.org/W3038811728,2020,article,en,77,False,Industrial Crops and Products,7,Affordable and clean energy,0.8700000047683716
https://openalex.org/W3123222097,2021,article,en,77,True,PLoS ONE,2,Zero hunger,0.6600000262260437
https://openalex.org/W2805206613,2018,review,en,76,True,Pathogens and Global Health,3,Good health and well-being,0.7900000214576721
https://openalex.org/W3195648479,2021,article,en,76,False,Sensors and Actuators B Chemical,6,Clean water and sanitation,0.5699999928474426
https://openalex.org/W2515913200,2016,article,en,75,False,Archives of Oral Biology,3,Good health and well-being,0.5799999833106995
https://openalex.org/W2767109557,2017,review,en,75,False,Pathology - Research and Practice,3,Good health and well-being,0.8399999737739563
https://openalex.org/W2914819254,2019,article,en,75,True,Revista Latino-Americana de Enfermagem,3,Good health and well-being,0.75
https://openalex.org/W2030915150,2010,article,pt,74,True,Revista Brasileira de Educação,10,Reduced inequalities,0.8299999833106995
https://openalex.org/W3134692574,2021,article,en,74,True,Journal of Geographical Systems,3,Good health and well-being,0.75
https://openalex.org/W2122327236,2013,article,en,73,True,PLoS ONE,3,Good health and well-being,0.8799999952316284
